Booking_ID,stays_in_weekend_nights,stays_in_week_nights,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,avg_price_per_room,booking_status
INN00001,1,2,224,2017,10,2,Offline,65,Not_Canceled
INN00002,2,3,5,2018,11,6,Online,106.68,Not_Canceled
INN00003,2,1,1,2018,2,28,Online,60,Canceled
INN00004,0,2,211,2018,5,20,Online,100,Canceled
INN00005,1,1,48,2018,4,11,Online,94.5,Canceled
INN00006,0,2,346,2018,9,13,Online,115,Canceled
INN00007,1,3,34,2017,10,15,Online,107.55,Not_Canceled
INN00008,1,3,83,2018,12,26,Online,105.61,Not_Canceled
INN00009,0,4,121,2018,7,6,Offline,96.9,Not_Canceled
INN00010,0,5,44,2018,10,18,Online,133.44,Not_Canceled
INN00011,1,0,0,2018,9,11,Online,85.03,Not_Canceled
INN00012,2,1,35,2018,4,30,Online,140.4,Not_Canceled
INN00013,2,1,30,2018,11,26,Online,88,Canceled
INN00014,2,0,95,2018,11,20,Online,90,Canceled
INN00015,0,2,47,2017,10,20,Online,94.5,Not_Canceled
INN00016,0,2,256,2018,6,15,Online,115,Canceled
INN00017,1,0,0,2017,10,5,Offline,96,Not_Canceled
INN00018,1,3,1,2017,8,10,Online,96,Not_Canceled
INN00019,2,2,99,2017,10,30,Online,65,Canceled
INN00020,1,0,12,2017,10,4,Offline,72,Not_Canceled
INN00021,2,2,99,2017,10,30,Online,65,Canceled
INN00022,0,1,122,2018,11,25,Corporate,67,Not_Canceled
INN00023,2,4,2,2018,3,20,Offline,85,Not_Canceled
INN00024,0,3,37,2018,10,13,Offline,105,Not_Canceled
INN00025,2,1,130,2018,5,22,Online,94.5,Not_Canceled
INN00026,0,2,99,2018,4,28,Online,114.3,Not_Canceled
INN00027,1,1,60,2017,9,21,Offline,65,Not_Canceled
INN00028,0,2,2,2018,5,19,Aviation,110,Canceled
INN00029,1,2,37,2017,11,6,Online,37.33,Canceled
INN00030,0,2,56,2017,9,17,Offline,82,Not_Canceled
INN00031,1,1,3,2017,9,19,Online,177.5,Not_Canceled
INN00032,2,2,107,2018,11,13,Online,87.5,Not_Canceled
INN00033,0,3,56,2018,12,7,Online,82.44,Not_Canceled
INN00034,0,1,2,2018,1,9,Online,69.5,Not_Canceled
INN00035,0,2,72,2018,10,7,Offline,85.5,Not_Canceled
INN00036,0,1,23,2018,4,27,Online,115,Not_Canceled
INN00037,2,1,34,2018,6,19,Online,81,Canceled
INN00038,0,1,289,2017,10,17,Offline,67,Not_Canceled
INN00039,2,3,247,2018,11,19,Online,63.75,Canceled
INN00040,2,1,186,2018,7,30,Online,121.8,Canceled
INN00041,0,4,64,2018,11,1,Online,93.6,Not_Canceled
INN00042,0,2,35,2018,6,21,Online,102,Not_Canceled
INN00043,2,1,96,2018,4,10,Online,121.8,Not_Canceled
INN00044,1,1,41,2018,6,27,Online,98.1,Canceled
INN00045,0,4,55,2017,11,18,Offline,60,Not_Canceled
INN00046,0,3,146,2017,12,29,Offline,75,Not_Canceled
INN00047,0,2,32,2017,11,20,Offline,73,Not_Canceled
INN00048,0,1,55,2018,4,6,Offline,104,Not_Canceled
INN00049,0,4,57,2018,11,1,Online,79.2,Not_Canceled
INN00050,1,3,7,2018,12,29,Online,125.8,Not_Canceled
INN00051,2,5,124,2018,5,30,Online,87.95,Not_Canceled
INN00052,2,2,169,2018,4,22,Online,106,Canceled
INN00053,1,2,6,2018,5,16,Online,136.67,Not_Canceled
INN00054,0,4,51,2017,11,11,Offline,60,Not_Canceled
INN00055,1,0,13,2018,6,13,Online,89,Not_Canceled
INN00056,1,3,100,2018,5,19,Online,136,Not_Canceled
INN00057,0,1,139,2018,7,28,Online,94.5,Not_Canceled
INN00058,1,2,117,2018,12,26,Online,93.6,Not_Canceled
INN00059,1,4,39,2018,4,20,Online,120.6,Canceled
INN00060,0,3,86,2018,4,6,Online,99.3,Not_Canceled
INN00061,0,1,2,2018,9,2,Online,258,Not_Canceled
INN00062,0,3,19,2018,5,3,Online,120.12,Not_Canceled
INN00063,0,2,192,2018,6,24,Offline,95,Not_Canceled
INN00064,0,1,2,2017,9,10,Complementary,0,Not_Canceled
INN00065,2,1,86,2018,12,18,Offline,75,Not_Canceled
INN00066,0,3,30,2018,10,5,Online,157.5,Not_Canceled
INN00067,0,2,179,2018,6,3,Online,97.7,Not_Canceled
INN00068,0,2,26,2018,4,15,Online,142,Canceled
INN00069,0,1,55,2018,4,6,Offline,80,Not_Canceled
INN00070,1,2,74,2018,4,25,Online,85.5,Not_Canceled
INN00071,0,3,143,2018,8,25,Offline,100,Not_Canceled
INN00072,1,0,34,2018,11,14,Online,88,Not_Canceled
INN00073,1,1,30,2018,8,29,Online,122.85,Not_Canceled
INN00074,0,2,177,2018,6,3,Online,100,Canceled
INN00075,2,3,34,2017,10,25,Offline,75,Not_Canceled
INN00076,1,4,18,2018,3,9,Online,116.8,Not_Canceled
INN00077,1,1,267,2018,12,31,Online,121.5,Not_Canceled
INN00078,1,2,64,2018,6,27,Online,111.9,Not_Canceled
INN00079,2,5,155,2018,6,28,Online,121.55,Canceled
INN00080,0,5,46,2018,3,29,Offline,75,Not_Canceled
INN00081,0,2,83,2018,4,1,Online,159.3,Canceled
INN00082,0,5,128,2018,10,11,Online,132.3,Canceled
INN00083,2,0,20,2018,12,25,Online,88,Not_Canceled
INN00084,1,4,40,2018,3,14,Online,98.82,Not_Canceled
INN00085,1,2,46,2018,3,4,Online,98.3,Not_Canceled
INN00086,1,0,1,2018,10,17,Online,150,Not_Canceled
INN00087,2,3,196,2018,9,4,Online,96.05,Not_Canceled
INN00088,0,2,188,2018,6,15,Online,130,Canceled
INN00089,0,1,17,2018,12,10,Online,95,Not_Canceled
INN00090,0,3,146,2018,8,9,Offline,113.56,Not_Canceled
INN00091,1,3,110,2018,5,5,Online,101.58,Not_Canceled
INN00092,1,2,68,2018,3,18,Online,105.3,Not_Canceled
INN00093,2,1,73,2018,4,9,Online,115.8,Not_Canceled
INN00094,0,1,92,2018,5,19,Online,149.4,Not_Canceled
INN00095,2,5,171,2018,8,30,Online,111.59,Canceled
INN00096,0,2,134,2018,8,4,Online,130.5,Not_Canceled
INN00097,0,2,320,2018,8,18,Online,115,Canceled
INN00098,0,4,118,2018,4,13,Online,90.95,Not_Canceled
INN00099,0,3,30,2018,11,17,Online,76.08,Not_Canceled
INN00100,1,3,30,2018,12,22,Online,156.9,Not_Canceled
INN00101,1,0,189,2018,10,23,Online,85.5,Not_Canceled
INN00102,1,2,55,2018,5,13,Online,159.3,Not_Canceled
INN00103,0,4,55,2018,12,13,Online,74.8,Not_Canceled
INN00104,0,1,16,2017,10,31,Online,95,Not_Canceled
INN00105,0,3,24,2017,10,8,Online,107,Not_Canceled
INN00106,0,3,8,2018,2,16,Offline,64,Not_Canceled
